position_x,position_y,velocity_x,velocity_y
4.408717710775944,-2694.63547202456,-0.24511212291402365,0.0032497655551907093
0.0,0.0,0.0,0.0
4.343158570076608,-2694.6346022569983,-0.42138809934263455,0.005588191694635633
0.0,0.0,0.0,0.0
4.88091981448669,-2694.1362278248557,0.2715996363077004,0.7408908622558097
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
5.267847040786305,-2693.805175771981,0.0,0.0
4.760262615494195,-2693.8083491763014,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
4.760262012839543,-2693.808349609118,-1.2714187032113576e-06,-9.131119458421003e-07
4.779281022123895,-2694.414736344457,0.03565732336590566,-1.136931855925428
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
4.788576279835185,-2694.711098525567,0.06118910306707778,-1.9509720983318255
4.586198541532505,-2694.697986066663,-0.2224813618249255,-2.3881437580350493
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
4.447746762344844,-2694.670263100841,-0.48744742399338226,-2.4296487650340284
0.0,0.0,0.0,0.0
4.536166374961457,-2694.651672305544,-0.5142392197877154,-2.379589009489006
0.0,0.0,0.0,0.0
4.603338999889588,-2694.6347497218153,-0.4183255125055615,-2.25665748102897
0.0,0.0,0.0,0.0
5.3258154653680805,-2694.354161972238,0.7199534235062286,-1.7182285526627643
0.0,0.0,0.0,0.0
5.825520716494332,-2694.158810927905,1.8347508885505,-1.1772711223372916
5.3836847792556615,-2694.1463117389776,1.960326791872294,-0.7438947072620483
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
5.0067000716307755,-2694.124582560576,1.4478061805889606,-0.5324162825287618
0.0,0.0,0.0,0.0
5.178622763614285,-2694.055601517898,1.3507607761052927,-0.2848274400204269
0.0,0.0,0.0,0.0
5.313753153219936,-2694.007738343633,1.4434025265104047,-0.11374589388113662
0.0,0.0,0.0,0.0
5.197513819928942,-2694.068535873439,1.3010837026219495,-0.09332988806627875
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
5.102300323524646,-2694.119763388241,1.0874778890517205,-0.14470812865615948
5.078290854922184,-2694.1877410762318,0.8966325912641017,-0.2733691433583251
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
5.064231009621097,-2694.2342147171985,0.7700624107853986,-0.3784447818398883
5.222906991623321,-2694.1093481514863,0.9133363678972682,-0.24916201381491362
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
5.3455987583877125,-2694.0110217165943,1.0801933174244547,-0.07406750480493568
5.005297666927349,-2694.229623155825,0.6924458861475674,-0.2629034150765852
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
4.701758368481933,-2694.4240899666606,0.1568389746514779,-0.5591086567451196
0.0,0.0,0.0,0.0
5.076626175084287,-2694.3077521160317,0.3783223862402129,-0.557906327267244
0.0,0.0,0.0,0.0
5.347182620209181,-2694.2199759802443,0.8190334940199899,-0.42108734041973267
0.0,0.0,0.0,0.0
5.259346280537166,-2694.216112082563,0.9509139321049307,-0.32027665790551973
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
5.179692537206115,-2694.215478768178,0.8653419470391729,-0.2722623310611135
5.057384495229024,-2694.28968767458,0.611123086082089,-0.3425277243911772
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
4.948739518951702,-2694.3546155134736,0.3649474338106351,-0.43513730820223606
4.9272889169931915,-2694.3703682029104,0.1725372758023569,-0.507404157072337
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
4.916863342068897,-2694.3789128037492,0.073357297767667,-0.5317734467445272
5.062160393905424,-2694.400021960545,0.22764367787478978,-0.5670099373417499
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
5.173644173902245,-2694.414112653294,0.41017194304405125,-0.5759631025025944
0.0,0.0,0.0,0.0
5.178948268718993,-2694.2866231100775,0.5235699726130008,-0.38456778669018066
0.0,0.0,0.0,0.0
5.178299624615096,-2694.1971184012787,0.5513948713611272,-0.1740057588655417
0.0,0.0,0.0,0.0
5.44507866665443,-2693.7975732549185,0.9555489983816303,0.5559689147324407
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
5.64349318442417,-2693.503228257236,1.3139112598068845,1.1666722540299037
5.524037391036272,-2693.7120945367396,1.375420148119253,1.278730058744869
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
5.425915657556894,-2693.884648325294,1.2210612429092729,1.0516648422445427
5.060105721308937,-2694.0713931392966,0.5595913799390811,0.6131226068632659
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
4.8006440890517155,-2694.185058322836,0.0,0.0
67.95333303370643,-2601.382354794185,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
67.95335387075498,-2601.3823242350013,4.1602730820007225e-05,6.101370383236363e-05
136.1883302300877,-2507.200626021561,136.50661245789254,188.414002165688
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
180.98994029428323,-2445.3629593779087,232.27953802610125,320.60510548442966
0.0,0.0,0.0,0.0
257.64211787762326,-2341.9170938541233,399.86699850901425,548.462696812694
0.0,0.0,0.0,0.0
305.5603534645206,-2277.290403710371,519.0254753063526,709.6210691525807
0.0,0.0,0.0,0.0
374.6317910980778,-2183.0064627065217,684.7323015891382,934.8655463300993
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
422.45281590657714,-2117.6923904901614,777.1880039204323,1060.767735993708
485.50099639675375,-2031.7583529944466,912.8937257389538,1245.632521554162
